"sample.depths","sample.ages","Abies","Acer.rubrum","Betula","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Fraxinus.undiff.","Larix","Ostrya.Carpinus","Picea","Quercus","Rumex","Salix","Tsuga","Ulmus","Alnus","Ambrosia","Myrica","Poaceae","Acer.saccharum","Fraxinus.nigra","Pinus.det..P..banksiana.P..resinosa","Pinus.det..P..strobus","Artemisia","Juglans.cinerea","Juglans.nigra","Asteraceae.subf..Asteroideae.undiff.","Fagus","Platanus","Populus","Fraxinus.americana","Castanea","Vitis","Carya","Ericaceae","Sarcobatus.vermiculatus","Corylus","Humulus","Iva.xanthifolia","Apiaceae","Thalictrum","Xanthium","Ephedra.nevadensis.type","Iva.annua","Onagraceae","Shepherdia.canadensis","Tilia"
1,-2,0.0332225913621262,0.00664451827242525,0.435215946843854,0.00664451827242525,0.00664451827242525,0.00332225913621262,0.00332225913621262,0.00664451827242525,0.00664451827242525,0.0863787375415282,0.00996677740863787,0.00332225913621262,0.00332225913621262,0.00664451827242525,0.00996677740863787,0.00332225913621262,0.0199335548172757,0.00332225913621262,0.00332225913621262,0.0166112956810631,0.00332225913621262,0.0996677740863787,0.222591362126246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,42,0.02,0,0.606666666666667,0.00333333333333333,0.00666666666666667,0.00333333333333333,0,0,0,0.0933333333333333,0.0166666666666667,0,0,0.00333333333333333,0,0.02,0.08,0,0.00333333333333333,0.0133333333333333,0,0.0533333333333333,0.0533333333333333,0.0133333333333333,0.00333333333333333,0.00333333333333333,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,215,0.0433333333333333,0,0.46,0,0,0.0133333333333333,0,0.00666666666666667,0.00333333333333333,0.136666666666667,0.05,0,0,0.00333333333333333,0.01,0.0333333333333333,0,0,0.0233333333333333,0.01,0,0.0866666666666667,0.1,0.0133333333333333,0,0,0,0.00333333333333333,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,512,0.0332225913621262,0,0.488372093023256,0,0.00996677740863787,0.00332225913621262,0.00332225913621262,0,0.00996677740863787,0.0830564784053156,0.0598006644518272,0,0,0.00332225913621262,0.00996677740863787,0.0166112956810631,0.00996677740863787,0,0,0.00664451827242525,0,0.0996677740863787,0.12624584717608,0.0166112956810631,0.00332225913621262,0,0.00332225913621262,0.00332225913621262,0.00332225913621262,0.00332225913621262,0.00332225913621262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,808,0.0166666666666667,0,0.583333333333333,0,0.0766666666666667,0.00333333333333333,0,0,0,0.06,0.0266666666666667,0,0,0.00666666666666667,0,0.0233333333333333,0.00333333333333333,0,0,0.0133333333333333,0,0.0866666666666667,0.09,0.00333333333333333,0,0,0,0.00666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1104,0.0066006600660066,0,0.594059405940594,0,0.0198019801980198,0.0132013201320132,0.0099009900990099,0.0033003300330033,0,0.0561056105610561,0.0198019801980198,0,0,0.0165016501650165,0.0099009900990099,0.0165016501650165,0.0132013201320132,0,0.0066006600660066,0.0132013201320132,0.0066006600660066,0.0429042904290429,0.125412541254125,0.0066006600660066,0,0,0.0033003300330033,0.0033003300330033,0,0.0033003300330033,0.0033003300330033,0.0033003300330033,0.0033003300330033,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1400,0.0232558139534884,0,0.704318936877076,0,0.00996677740863787,0.00332225913621262,0.00332225913621262,0.00332225913621262,0,0.053156146179402,0.0199335548172757,0,0,0.00996677740863787,0,0.00996677740863787,0,0.00332225913621262,0.00332225913621262,0.00996677740863787,0.00332225913621262,0.026578073089701,0.0996677740863787,0.00332225913621262,0,0,0,0.00332225913621262,0,0.00332225913621262,0,0,0,0.00332225913621262,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1696,0.0166112956810631,0,0.647840531561462,0,0.0398671096345515,0,0.00332225913621262,0.00332225913621262,0.00332225913621262,0.0498338870431894,0.0398671096345515,0,0,0.00332225913621262,0.00996677740863787,0.026578073089701,0.00664451827242525,0,0.00332225913621262,0.0132890365448505,0.00332225913621262,0.0365448504983389,0.079734219269103,0.00996677740863787,0,0,0,0,0,0,0,0,0,0,0.00332225913621262,0,0,0,0,0,0,0,0,0,0,0,0
80,1992,0.00666666666666667,0,0.596666666666667,0.00333333333333333,0.06,0,0,0.00333333333333333,0,0.0366666666666667,0.0266666666666667,0,0,0.02,0.02,0.0166666666666667,0.00666666666666667,0,0.00666666666666667,0.01,0,0.0333333333333333,0.136666666666667,0.00333333333333333,0,0,0,0.0133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2288,0.0132013201320132,0,0.462046204620462,0,0.033003300330033,0.0132013201320132,0.0099009900990099,0.0033003300330033,0.0099009900990099,0.0594059405940594,0.0363036303630363,0,0,0.0198019801980198,0.0165016501650165,0.0297029702970297,0.0099009900990099,0,0.0066006600660066,0.0198019801980198,0.0033003300330033,0.0726072607260726,0.155115511551155,0.0066006600660066,0,0,0,0.0033003300330033,0,0,0.0066006600660066,0,0,0,0.0066006600660066,0.0033003300330033,0,0,0,0,0,0,0,0,0,0,0
